q,latitude,longitude,result_label,result_score,result_score_next,result_type,result_id,result_housenumber,result_name,result_street,result_postcode,result_city,result_context,result_citycode,result_oldcitycode,result_oldcity,result_district,result_status
147 AVENUE DU GENERAL DE GAULLE 94170 LE PERREUX SUR MARNE Val-de-Marne,48.843564,2.502898,147 Avenue du Général de Gaulle 94170 Le Perreux-sur-Marne,0.8079470129870129,,housenumber,94058_4135_00147,147,147 Avenue du Général de Gaulle,Avenue du Général de Gaulle,94170,Le Perreux-sur-Marne,"94, Val-de-Marne, Île-de-France",94058,,,,ok
87 BOULEVARD DE PORT ROYAL 75013 PARIS Paris,48.838013,2.342774,87 Boulevard de Port-Royal 75013 Paris,0.8483564693446087,0.5552569696969696,housenumber,75113_7740_00087,87,87 Boulevard de Port-Royal,Boulevard de Port-Royal,75013,Paris,"75, Paris, Île-de-France",75113,,,Paris 13e Arrondissement,ok
4 RUE LAGORSSE 77300 FONTAINEBLEAU Seine-et-Marne,48.412166,2.700855,4 Rue Lagorsse 77300 Fontainebleau,0.6821127272727272,,housenumber,77186_0670_00004,4,4 Rue Lagorsse,Rue Lagorsse,77300,Fontainebleau,"77, Seine-et-Marne, Île-de-France",77186,,,,ok
73 AVENUE LEON BLUM 77176 SAVIGNY LE TEMPLE Seine-et-Marne,48.596524,2.58139,73 Avenue Leon Blum 77176 Savigny-le-Temple,0.7237437320574162,,housenumber,77445_1408_00073,73,73 Avenue Leon Blum,Avenue Leon Blum,77176,Savigny-le-Temple,"77, Seine-et-Marne, Île-de-France",77445,,,,ok
31 RUE D HAUTPOUL 75019 PARIS Paris,48.882475,2.388059,31 Rue d'Hautpoul 75019 Paris,0.8193558288770052,,housenumber,75119_4502_00031,31,31 Rue d'Hautpoul,Rue d'Hautpoul,75019,Paris,"75, Paris, Île-de-France",75119,,,Paris 19e Arrondissement,ok
13 RUE AMEDEE BOLLEE 92500 RUEIL MALMAISON Hauts-de-Seine,48.888906,2.171018,13 Rue Amédée Bollée 92500 Rueil-Malmaison,0.7217962337662337,,housenumber,92063_0076_00013,13,13 Rue Amédée Bollée,Rue Amédée Bollée,92500,Rueil-Malmaison,"92, Hauts-de-Seine, Île-de-France",92063,,,,ok
7 SQUARE JEAN BAPTISTE CLEMENT 91390 MORSANG SUR ORGE Essonne,48.659353,2.343211,7 Square Jean Baptiste Clement 91390 Morsang-sur-Orge,0.839230606060606,,housenumber,91434_1500_00007,7,7 Square Jean Baptiste Clement,Square Jean Baptiste Clement,91390,Morsang-sur-Orge,"91, Essonne, Île-de-France",91434,,,,ok
16 RUE LAURISTON 75016 PARIS Paris,48.871794,2.292443,16 Rue Lauriston 75016 Paris,0.8154452892561983,,housenumber,75116_5401_00016,16,16 Rue Lauriston,Rue Lauriston,75016,Paris,"75, Paris, Île-de-France",75116,,,Paris 16e Arrondissement,ok
16 AVENUE DE SAINT GERMAIN 78560 LE PORT MARLY Yvelines,48.886966,2.102482,16 Avenue de Saint-germain 78560 Le Port-Marly,0.8087903030303031,0.5270606951871658,housenumber,78502_0145_00016,16,16 Avenue de Saint-germain,Avenue de Saint-germain,78560,Le Port-Marly,"78, Yvelines, Île-de-France",78502,,,,ok
3 PLACE CORNEILLE 92100 BOULOGNE BILLANCOURT Hauts-de-Seine,48.830019,2.248692,3 Place Corneille 92100 Boulogne-Billancourt,0.7334775548589342,,housenumber,92012_1485_00003,3,3 Place Corneille,Place Corneille,92100,Boulogne-Billancourt,"92, Hauts-de-Seine, Île-de-France",92012,,,,ok
29 RUE SIBUET 75012 PARIS Paris,48.843049,2.402251,29 Rue Sibuet 75012 Paris,0.79411,,housenumber,75112_8968_00029,29,29 Rue Sibuet,Rue Sibuet,75012,Paris,"75, Paris, Île-de-France",75112,,,Paris 12e Arrondissement,ok
12 Place DES REFLETS 92400 COURBEVOIE Hauts-de-Seine,48.889707,2.246053,12 Place des Reflets 92400 Courbevoie,0.7015348663101605,0.5312098086124402,housenumber,92026_8129_00012,12,12 Place des Reflets,Place des Reflets,92400,Courbevoie,"92, Hauts-de-Seine, Île-de-France",92026,,,,ok
